term,mean_tfidf
bitch,0.09436593917296747
rt,0.07929025390993773
bitches,0.04553468808604052
hoes,0.03860236870854632
like,0.037135792359669816
pussy,0.03511664443981325
hoe,0.03377575633540206
trash,0.02419638514302511
fuck,0.02345254589496204
lol,0.022027663128265408
don,0.021901230102664586
just,0.021642824326830803
ass,0.020913247436525284
got,0.019610054459293737
nigga,0.019369860328722805
shit,0.01580900716738664
ain,0.015000135363629952
love,0.013946561397659317
know,0.012563365636982375
niggas,0.012477365237838454
bad,0.01239846737869803
birds,0.011097872271286042
want,0.010815995343189397
need,0.010788938414685723
ya,0.01057700508806803
