section,passage_count,average_word_count,topic_count
Courses with Course Subject: History (HIST),92,54.2,6
Courses with Course Subject: Media and Arts (MEDIART),65,55.0,7
Courses with Course Subject: Literature (LIT),50,56.0,5
Courses with Course Subject: Political Science (POLSCI),50,54.9,8
Courses with Course Subject: Public Policy (PUBPOL),47,53.3,7
Courses with Course Subject: Biology (BIOL),41,56.2,6
Courses with Course Subject: Chinese (CHINESE),39,52.8,3
Courses with Course Subject: Cultural Anthropology (CULANTH),33,58.6,6
Courses with Course Subject: Physical Education (PHYSEDU),32,48.6,6
Courses with Course Subject: Global Health (GLHLTH),31,53.1,5
Courses with Course Subject: Philosophy (PHIL),31,54.3,5
Courses with Course Subject: Economics (ECON),30,52.4,5
Courses with Course Subject: Global Cultural Studies (GCULS),30,51.8,5
Courses with Course Subject: Mathematics (MATH),29,47.1,3
Degree Requirements,27,64.1,4
Courses with Course Subject: Religious Studies (RELIG),24,53.2,4
Courses with Course Subject: Physics (PHYS),23,54.0,5
Underload,22,62.1,3
Courses with Course Subject: Computer Science (COMPSCI),21,44.4,2
Courses with Course Subject: Ethics and Leadership (ETHLDR),21,54.9,4
Courses with Course Subject: Written and Oral Communication (WOC),20,51.6,5
Policy,20,61.4,5
Courses with Course Subject: Environment (ENVIR),19,56.5,5
Credit (CR/NC) Grading System.),19,58.2,1
Latin Honors,19,58.9,3
Courses with Course Subject: Chemistry (CHEM),18,52.3,4
Courses with Course Subject: Cultures and Movements (CULMOVE),18,53.7,6
Courses with Course Subject: Sociology (SOCIOL),18,52.1,6
Voluntary Withdrawal,18,59.9,1
Courses with Course Subject: Statistics (STATS),16,46.6,3
Passing Grades,16,58.7,1
Courses with Course Subject: Material Science (MATSCI),15,44.9,2
Courses with Course Subject: Social Science (SOSC),15,55.3,6
Environmental Science / Public Policy,15,52.7,5
Programming and Software Engineering,15,56.3,3
Courses with Course Subject: Chinese Society and Culture (CHSC),14,55.4,4
Undergraduate Degree.),14,55.5,2
Courses with Course Subject: English for Academic Purposes (EAP),13,55.2,3
Courses with Course Subject: Global China Studies (GCHINA),13,57.1,5
Transfer Credit for Foreign Language,13,60.5,2
Courses with Course Subject: Behavior Science (BEHAVSCI),12,64.5,4
Courses with Course Subject: Information Science (INFOSCI),12,53.8,5
Courses with Course Subject: Political Economy (POLECON),12,55.3,5
Submission of Term Paper,12,50.2,2
Global Cultural Studies / World Literature,11,57.4,4
Who We Are,11,53.5,3
Academic Suspension,10,54.3,1
