passage_id,neighbor_id,rank,similarity
p0001,p0007,1,0.774527
p0001,p0452,2,0.768778
p0001,p0470,3,0.717780
p0001,p0727,4,0.713660
p0001,p0013,5,0.710789
p0002,p0727,1,0.774204
p0002,p0945,2,0.760604
p0002,p0978,3,0.754371
p0002,p1187,4,0.753351
p0002,p1219,5,0.749431
p0003,p1090,1,0.747003
p0003,p1219,2,0.746287
p0003,p1589,3,0.732276
p0003,p1677,4,0.725521
p0003,p0057,5,0.719225
p0004,p0005,1,0.872644
p0004,p0013,2,0.860536
p0004,p0033,3,0.856108
p0004,p0010,4,0.840111
p0004,p0012,5,0.830510
p0005,p0004,1,0.872644
p0005,p0010,2,0.862080
p0005,p0013,3,0.861358
p0005,p0033,4,0.851177
p0005,p0394,5,0.850566
p0006,p0460,1,0.840997
p0006,p0005,2,0.834388
p0006,p1555,3,0.827514
p0006,p0013,4,0.821436
p0006,p0622,5,0.813744
p0007,p0452,1,0.818420
p0007,p0955,2,0.812365
p0007,p0948,3,0.810193
p0007,p0006,4,0.798469
p0007,p1555,5,0.796413
p0008,p1028,1,0.856759
p0008,p1555,2,0.843546
p0008,p1668,3,0.830904
p0008,p0926,4,0.826785
p0008,p1667,5,0.816170
p0009,p0035,1,0.815816
p0009,p0023,2,0.813769
p0009,p0004,3,0.813336
p0009,p0083,4,0.788511
p0009,p0419,5,0.782194
p0010,p0005,1,0.862080
p0010,p0004,2,0.840111
p0010,p0033,3,0.833670
p0010,p0412,4,0.809760
p0010,p0053,5,0.808215
p0011,p0012,1,0.778548
p0011,p0033,2,0.770384
p0011,p0031,3,0.764660
p0011,p0876,4,0.738330
p0011,p0858,5,0.732165
p0012,p0031,1,0.909946
p0012,p0078,2,0.859556
p0012,p0033,3,0.848812
p0012,p0013,4,0.846985
p0012,p0394,5,0.840003
p0013,p0078,1,0.875546
p0013,p0412,2,0.872635
p0013,p0033,3,0.872039
p0013,p0448,4,0.867346
p0013,p1656,5,0.864510
p0014,p1059,1,0.791897
p0014,p1230,2,0.784072
p0014,p1509,3,0.783588
p0014,p0033,4,0.782943
p0014,p0472,5,0.782714
p0015,p0450,1,0.787151
p0015,p0017,2,0.723723
p0015,p0033,3,0.723493
p0015,p0083,4,0.721145
p0015,p0016,5,0.713839
p0016,p0006,1,0.739806
p0016,p0639,2,0.738873
p0016,p0621,3,0.714829
p0016,p0015,4,0.713839
p0016,p1335,5,0.709480
p0017,p0004,1,0.758763
p0017,p0010,2,0.745214
p0017,p0033,3,0.744293
p0017,p0006,4,0.743985
p0017,p0692,5,0.734395
p0018,p0026,1,0.793882
p0018,p0023,2,0.746623
p0018,p0028,3,0.737616
p0018,p1173,4,0.718269
p0018,p1498,5,0.701321
p0019,p0461,1,0.812623
p0019,p0476,2,0.802099
p0019,p0402,3,0.781874
p0019,p0414,4,0.777616
p0019,p0415,5,0.777042
p0020,p0649,1,0.817663
p0020,p0681,2,0.804164
p0020,p1116,3,0.802135
p0020,p0039,4,0.801773
p0020,p0004,5,0.801417
p0021,p0004,1,0.799226
p0021,p0025,2,0.792248
p0021,p0010,3,0.778088
p0021,p0009,4,0.774747
p0021,p0022,5,0.763940
p0022,p0412,1,0.789491
p0022,p0395,2,0.779756
p0022,p0490,3,0.767966
p0022,p0021,4,0.763940
p0022,p0078,5,0.762508
p0023,p0009,1,0.813769
p0023,p0026,2,0.785234
p0023,p1173,3,0.779117
p0023,p0621,4,0.757431
p0023,p0018,5,0.746623
p0024,p0023,1,0.744023
p0024,p0028,2,0.730385
p0024,p1173,3,0.660175
p0024,p1140,4,0.653543
p0024,p0027,5,0.653358
p0025,p0021,1,0.792248
p0025,p0053,2,0.681697
p0025,p0165,3,0.671726
p0025,p0882,4,0.665154
p0025,p0121,5,0.661719
p0026,p0018,1,0.793882
p0026,p0023,2,0.785234
p0026,p0028,3,0.694191
p0026,p1498,4,0.672093
p0026,p0009,5,0.671009
p0027,p1498,1,0.760687
p0027,p1173,2,0.735310
p0027,p0621,3,0.716005
p0027,p0622,4,0.714295
p0027,p1060,5,0.714158
p0028,p1173,1,0.752076
p0028,p0018,2,0.737616
p0028,p0024,3,0.730385
p0028,p0023,4,0.723877
p0028,p1129,5,0.703804
p0029,p0491,1,0.854465
p0029,p0460,2,0.842966
p0029,p0030,3,0.840928
p0029,p0448,4,0.831333
p0029,p0037,5,0.826201
p0030,p0491,1,0.842307
p0030,p0029,2,0.840928
p0030,p0141,3,0.809169
p0030,p0008,4,0.797959
p0030,p0460,5,0.797643
p0031,p0012,1,0.909946
p0031,p0037,2,0.870557
p0031,p1059,3,0.859659
p0031,p0005,4,0.850295
