section,cluster_name,count
A Liberal Arts Education at Duke Kunshan University,"Academic Rules, Credits, and Enrollment",1
A Liberal Arts Education at Duke Kunshan University,"Health, Research, and Academic Programs",4
A Liberal Arts Education at Duke Kunshan University,"Language, Learning, and Communication",1
A Liberal Arts Education at Duke Kunshan University,"Society, Behavior, and Environment",2
Academic Advising and Support,"Health, Research, and Academic Programs",1
Academic Advising and Support,"Language, Learning, and Communication",8
Academic Calendar 2021-22,"Academic Rules, Credits, and Enrollment",7
Academic Calendar 2021-22,Course Requirements and Subject Codes,2
Academic Procedures and Information,"Academic Rules, Credits, and Enrollment",6
Academic Procedures and Information,"Language, Learning, and Communication",2
Academic Procedures and Information,"Society, Behavior, and Environment",1
Academic Resource Center,"Health, Research, and Academic Programs",3
Academic Resource Center,"Language, Learning, and Communication",5
Academic Suspension,"Academic Rules, Credits, and Enrollment",10
Academic Warning,"Academic Rules, Credits, and Enrollment",6
Academic Warning,Course Requirements and Subject Codes,1
Accommodations,"Academic Rules, Credits, and Enrollment",1
Accommodations,"Health, Research, and Academic Programs",1
Accommodations,"Language, Learning, and Communication",4
"Admission, Scholarships and Financial Aid","Academic Rules, Credits, and Enrollment",1
"Admission, Scholarships and Financial Aid","Health, Research, and Academic Programs",1
"Admission, Scholarships and Financial Aid","Language, Learning, and Communication",2
Applied Mathematics and Computational Sciences/Computer Science,Course Requirements and Subject Codes,3
Applied Mathematics and Computational Sciences/Computer Science,"Language, Learning, and Communication",1
Behavioral Science / Neuroscience,Course Requirements and Subject Codes,2
Behavioral Science / Psychology,Course Requirements and Subject Codes,3
"Biology, Genetics and Genomics","Data, Computation, and Materials",5
"Biology, Genetics and Genomics","Health, Research, and Academic Programs",2
"Biology, Genetics and Genomics","Language, Learning, and Communication",1
"Biology, Genetics and Genomics","Society, Behavior, and Environment",2
Campus Engagement,"China, Globalization, and Economics",1
Campus Engagement,"Health, Research, and Academic Programs",4
Campus Engagement,"Language, Learning, and Communication",5
"Career Services, Study Away, and Research Opportunities","Health, Research, and Academic Programs",4
"Career Services, Study Away, and Research Opportunities","Language, Learning, and Communication",2
Chinese Student Services and Student Mobility,"Academic Rules, Credits, and Enrollment",2
Chinese Student Services and Student Mobility,"Health, Research, and Academic Programs",4
Chinese Student Services and Student Mobility,"Language, Learning, and Communication",1
Class Scheduling,"Academic Rules, Credits, and Enrollment",8
College Board Advanced Placement Program (AP) Examinations,"Academic Rules, Credits, and Enrollment",7
College Board Advanced Placement Program (AP) Examinations,"Language, Learning, and Communication",3
Compliance with Academic Regulations,"Academic Rules, Credits, and Enrollment",2
Compliance with Academic Regulations,"Language, Learning, and Communication",1
Computation and Design / Computer Science,Course Requirements and Subject Codes,3
Computation and Design / Digital Media,Course Requirements and Subject Codes,4
Computation and Design / Social Policy,Course Requirements and Subject Codes,1
Counseling and Psychological Services (CAPS),"Health, Research, and Academic Programs",5
Counseling and Psychological Services (CAPS),"Language, Learning, and Communication",1
Counseling and Psychological Services (CAPS),"Society, Behavior, and Environment",1
Course Audit,"Academic Rules, Credits, and Enrollment",4
Course Cluster I,Course Requirements and Subject Codes,1
Course Cluster I,"Language, Learning, and Communication",1
Course Credits,"Academic Rules, Credits, and Enrollment",3
Course Credits,"Language, Learning, and Communication",1
Course Descriptions,"Academic Rules, Credits, and Enrollment",1
Course Repeat,"Academic Rules, Credits, and Enrollment",9
Course Repeat,"Language, Learning, and Communication",1
Courses with Course Subject: Arts and Humanities (ARHU),"Culture, Media, and Humanities",3
Courses with Course Subject: Behavior Science (BEHAVSCI),"Data, Computation, and Materials",3
Courses with Course Subject: Behavior Science (BEHAVSCI),"Health, Research, and Academic Programs",1
Courses with Course Subject: Behavior Science (BEHAVSCI),"Language, Learning, and Communication",1
Courses with Course Subject: Behavior Science (BEHAVSCI),"Society, Behavior, and Environment",7
Courses with Course Subject: Biology (BIOL),Course Requirements and Subject Codes,1
Courses with Course Subject: Biology (BIOL),"Culture, Media, and Humanities",1
Courses with Course Subject: Biology (BIOL),"Data, Computation, and Materials",32
Courses with Course Subject: Biology (BIOL),"Health, Research, and Academic Programs",1
Courses with Course Subject: Biology (BIOL),"Language, Learning, and Communication",1
Courses with Course Subject: Biology (BIOL),"Society, Behavior, and Environment",5
Courses with Course Subject: Chemistry (CHEM),"Academic Rules, Credits, and Enrollment",1
Courses with Course Subject: Chemistry (CHEM),"Data, Computation, and Materials",13
Courses with Course Subject: Chemistry (CHEM),"Health, Research, and Academic Programs",2
Courses with Course Subject: Chemistry (CHEM),"Language, Learning, and Communication",2
Courses with Course Subject: Chinese (CHINESE),"Culture, Media, and Humanities",4
Courses with Course Subject: Chinese (CHINESE),"Health, Research, and Academic Programs",10
Courses with Course Subject: Chinese (CHINESE),"Language, Learning, and Communication",25
Courses with Course Subject: Chinese Society and Culture (CHSC),"Academic Rules, Credits, and Enrollment",2
Courses with Course Subject: Chinese Society and Culture (CHSC),"China, Globalization, and Economics",3
Courses with Course Subject: Chinese Society and Culture (CHSC),"Culture, Media, and Humanities",6
Courses with Course Subject: Chinese Society and Culture (CHSC),"Language, Learning, and Communication",3
Courses with Course Subject: Computer Design (COMPDSGN),"Language, Learning, and Communication",2
Courses with Course Subject: Computer Science (COMPSCI),"Data, Computation, and Materials",19
Courses with Course Subject: Computer Science (COMPSCI),"Language, Learning, and Communication",2
Courses with Course Subject: Cultural Anthropology (CULANTH),Big Questions and Civic Inquiry,3
Courses with Course Subject: Cultural Anthropology (CULANTH),"China, Globalization, and Economics",12
Courses with Course Subject: Cultural Anthropology (CULANTH),"Culture, Media, and Humanities",10
Courses with Course Subject: Cultural Anthropology (CULANTH),"Health, Research, and Academic Programs",2
Courses with Course Subject: Cultural Anthropology (CULANTH),"Language, Learning, and Communication",1
Courses with Course Subject: Cultural Anthropology (CULANTH),"Society, Behavior, and Environment",5
Courses with Course Subject: Cultures and Movements (CULMOVE),Big Questions and Civic Inquiry,1
Courses with Course Subject: Cultures and Movements (CULMOVE),"China, Globalization, and Economics",8
Courses with Course Subject: Cultures and Movements (CULMOVE),"Culture, Media, and Humanities",3
Courses with Course Subject: Cultures and Movements (CULMOVE),"Health, Research, and Academic Programs",1
Courses with Course Subject: Cultures and Movements (CULMOVE),"Language, Learning, and Communication",3
Courses with Course Subject: Cultures and Movements (CULMOVE),"Society, Behavior, and Environment",2
Courses with Course Subject: Economics (ECON),"Academic Rules, Credits, and Enrollment",2
Courses with Course Subject: Economics (ECON),"China, Globalization, and Economics",5
Courses with Course Subject: Economics (ECON),"Data, Computation, and Materials",10
Courses with Course Subject: Economics (ECON),"Health, Research, and Academic Programs",3
Courses with Course Subject: Economics (ECON),"Society, Behavior, and Environment",10
Courses with Course Subject: English for Academic Purposes (EAP),"Culture, Media, and Humanities",1
Courses with Course Subject: English for Academic Purposes (EAP),"Health, Research, and Academic Programs",1
Courses with Course Subject: English for Academic Purposes (EAP),"Language, Learning, and Communication",11
Courses with Course Subject: Environment (ENVIR),"Academic Rules, Credits, and Enrollment",1
Courses with Course Subject: Environment (ENVIR),"China, Globalization, and Economics",2
Courses with Course Subject: Environment (ENVIR),"Data, Computation, and Materials",10
Courses with Course Subject: Environment (ENVIR),"Health, Research, and Academic Programs",2
Courses with Course Subject: Environment (ENVIR),"Society, Behavior, and Environment",4
Courses with Course Subject: Ethics and Leadership (ETHLDR),Big Questions and Civic Inquiry,10
Courses with Course Subject: Ethics and Leadership (ETHLDR),"Culture, Media, and Humanities",3
Courses with Course Subject: Ethics and Leadership (ETHLDR),"Language, Learning, and Communication",2
Courses with Course Subject: Ethics and Leadership (ETHLDR),"Society, Behavior, and Environment",6
Courses with Course Subject: French (FRENCH),"Culture, Media, and Humanities",1
Courses with Course Subject: French (FRENCH),"Language, Learning, and Communication",1
Courses with Course Subject: German (GERMAN),"Language, Learning, and Communication",2
Courses with Course Subject: Global Challenges (GLOCHALL),"Health, Research, and Academic Programs",1
Courses with Course Subject: Global Challenges (GLOCHALL),"Language, Learning, and Communication",1
Courses with Course Subject: Global China Studies (GCHINA),Big Questions and Civic Inquiry,1
Courses with Course Subject: Global China Studies (GCHINA),"China, Globalization, and Economics",6
Courses with Course Subject: Global China Studies (GCHINA),"Health, Research, and Academic Programs",2
Courses with Course Subject: Global China Studies (GCHINA),"Language, Learning, and Communication",1
Courses with Course Subject: Global China Studies (GCHINA),"Society, Behavior, and Environment",3
Courses with Course Subject: Global Cultural Studies (GCULS),Big Questions and Civic Inquiry,5
Courses with Course Subject: Global Cultural Studies (GCULS),"China, Globalization, and Economics",6
Courses with Course Subject: Global Cultural Studies (GCULS),"Culture, Media, and Humanities",17
Courses with Course Subject: Global Cultural Studies (GCULS),"Health, Research, and Academic Programs",1
Courses with Course Subject: Global Cultural Studies (GCULS),"Language, Learning, and Communication",1
Courses with Course Subject: Global Health (GLHLTH),"China, Globalization, and Economics",1
Courses with Course Subject: Global Health (GLHLTH),"Data, Computation, and Materials",1
Courses with Course Subject: Global Health (GLHLTH),"Health, Research, and Academic Programs",12
Courses with Course Subject: Global Health (GLHLTH),"Language, Learning, and Communication",2
Courses with Course Subject: Global Health (GLHLTH),"Society, Behavior, and Environment",15
Courses with Course Subject: History (HIST),Big Questions and Civic Inquiry,13
Courses with Course Subject: History (HIST),"China, Globalization, and Economics",43
Courses with Course Subject: History (HIST),"Culture, Media, and Humanities",18
Courses with Course Subject: History (HIST),"Health, Research, and Academic Programs",8
Courses with Course Subject: History (HIST),"Language, Learning, and Communication",2
Courses with Course Subject: History (HIST),"Society, Behavior, and Environment",8
Courses with Course Subject: Independent Study (INDSTU),"Language, Learning, and Communication",1
Courses with Course Subject: Information Science (INFOSCI),"Culture, Media, and Humanities",1
Courses with Course Subject: Information Science (INFOSCI),"Data, Computation, and Materials",6
Courses with Course Subject: Information Science (INFOSCI),"Health, Research, and Academic Programs",1
Courses with Course Subject: Information Science (INFOSCI),"Language, Learning, and Communication",1
Courses with Course Subject: Information Science (INFOSCI),"Society, Behavior, and Environment",3
Courses with Course Subject: Institutions and Governance (INSTGOV),"Language, Learning, and Communication",1
Courses with Course Subject: Integrated Science (INTGSCI),"Data, Computation, and Materials",4
Courses with Course Subject: Italian (ITALIAN),"Culture, Media, and Humanities",1
Courses with Course Subject: Japanese (JAPANESE),"Language, Learning, and Communication",4
Courses with Course Subject: Literature (LIT),Big Questions and Civic Inquiry,6
Courses with Course Subject: Literature (LIT),"China, Globalization, and Economics",11
Courses with Course Subject: Literature (LIT),"Culture, Media, and Humanities",26
Courses with Course Subject: Literature (LIT),"Language, Learning, and Communication",4
